feature,observed_count,zero_count,zero_pct_observed
WOMEN_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,728,687,94.37
SC_POA_ATTEMPT_TO_COMMIT_RAPE,728,687,94.37
WOMEN_PROTECTION_OF_WOMEN_FROM_DOMESTIC_VIOLENCE_ACT_2005,728,684,93.96
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,728,684,93.96
ST_IPC_OTHER_IPC_CRIMES,728,684,93.96
IPC_OTHER_PLACES_RELATED_TO_WORK,729,684,93.83
WOMEN_IN_PLACES_RELATED_TO_WORK,728,683,93.82
CHILDREN_PROCURATION_OF_MINOR_GIRLS,8854,8297,93.71
ST_POA_ATTEMPT_TO_COMMIT_MURDER,728,682,93.68
SC_ROBBERY,8853,8291,93.65
SC_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,8853,8287,93.61
CHILDREN_INFANTICID,735,688,93.61
SC_POA_STALKING,728,681,93.54
WOMEN_ATTEMPT_TO_COMMIT_CULPABLE_HOMICIDE,728,679,93.27
CHILDREN_FOETICIDE,8854,8253,93.21
IPC_RIOTS_OTHER_CASTE_CONFLICT,729,678,93.0
ST_POA_RIOTS,728,674,92.58
ST_KIDNAPPING_ABDUCTION,8888,8212,92.39
IPC_RIOTS_SC_STS_VS_NON_SCS_STS,729,673,92.32
IPC_DACOITY_WITH_MURDER,729,673,92.32
IPC_POSSESSION_OF_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,729,673,92.32
ST_TOTAL_IPC_CRIMES_AGAINST_STS,728,670,92.03
CHILDREN_PROHIBITION_OF_CHILD_MARRIAGE_ACT,8854,8141,91.95
SC_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,728,669,91.9
SC_POA_KIDNAPING_ABDUCTION_TOTAL,728,668,91.76
WOMEN_UNNATURAL_OFFENCES,728,666,91.48
SC_POA_OTHER_KIDNAPPING,728,664,91.21
ST_POA_SEXUAL_HARASSMENT,728,657,90.25
