crime_group,source_feature,normalized_feature,canonical_feature,mapping_status,mapping_notes
IPC,IPC_CAUSING DEATH BY NEGLIGENCE,CAUSING_DEATH_BY_NEGLIGENCE,CAUSING_DEATH_BY_NEGLIGENCE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Causing Death by Negligence,CAUSING_DEATH_BY_NEGLIGENCE,CAUSING_DEATH_BY_NEGLIGENCE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_CHEATING,CHEATING,CHEATING,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Cheating,CHEATING,CHEATING,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Counterfeiting,COUNTERFEITING,COUNTERFEITING,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Counterfeiting currency notes/Bank notes,COUNTERFEITING_CURRENCY_NOTES_BANK_NOTES,COUNTERFEITING_CURRENCY_NOTES_BANK_NOTES,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Counterfeiting Government Stamp,COUNTERFEITING_GOVERNMENT_STAMP,COUNTERFEITING_GOVERNMENT_STAMP,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Counterfeit currency & Bank notes,COUNTERFEIT_CURRENCY_BANK_NOTES,COUNTERFEIT_CURRENCY_BANK_NOTES,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Counterfeit Offences related to Counterfeit Coin,COUNTERFEIT_OFFENCES_RELATED_TO_COUNTERFEIT_COIN,COUNTERFEIT_OFFENCES_RELATED_TO_COUNTERFEIT_COIN,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_COUNTERFIETING,COUNTERFIETING,COUNTERFIETING,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_CRIMINAL BREACH OF TRUST,CRIMINAL_BREACH_OF_TRUST,CRIMINAL_BREACH_OF_TRUST,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Criminal Breach of Trust,CRIMINAL_BREACH_OF_TRUST,CRIMINAL_BREACH_OF_TRUST,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Criminal Trespass/Burglary,CRIMINAL_TRESPASS_BURGLARY,CRIMINAL_TRESPASS_BURGLARY,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Criminal Trespass or Burglary,CRIMINAL_TRESPASS_OR_BURGLARY,CRIMINAL_TRESPASS_OR_BURGLARY,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_CRUELTY BY HUSBAND OR HIS RELATIVES,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Cruelty by Husband or his Relatives,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Culpable Homicide not amounting to Murder,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Custodial_Gang Rape,CUSTODIAL_GANG_RAPE,CUSTODIAL_GANG_RAPE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Custodial_Other Rape,CUSTODIAL_OTHER_RAPE,CUSTODIAL_OTHER_RAPE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_CUSTODIAL RAPE,CUSTODIAL_RAPE,CUSTODIAL_RAPE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Custodial Rape,CUSTODIAL_RAPE,CUSTODIAL_RAPE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_DACOITY,DACOITY,DACOITY,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Dacoity,DACOITY,DACOITY,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Dacoity with Murder,DACOITY_WITH_MURDER,DACOITY_WITH_MURDER,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Deaths due to negligent driving/act,DEATHS_DUE_TO_NEGLIGENT_DRIVING_ACT,DEATHS_DUE_TO_NEGLIGENT_DRIVING_ACT,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Deaths due to Other Causes,DEATHS_DUE_TO_OTHER_CAUSES,DEATHS_DUE_TO_OTHER_CAUSES,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Disclosure of Identity of Victims,DISCLOSURE_OF_IDENTITY_OF_VICTIMS,DISCLOSURE_OF_IDENTITY_OF_VICTIMS,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_DOWRY DEATHS,DOWRY_DEATHS,DOWRY_DEATHS,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Dowry Deaths,DOWRY_DEATHS,DOWRY_DEATHS,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Extortion,EXTORTION,EXTORTION,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Forgery,FORGERY,FORGERY,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Grievous Hurt,GRIEVOUS_HURT,GRIEVOUS_HURT,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_House Trespass & House Breaking,HOUSE_TRESPASS_HOUSE_BREAKING,HOUSE_TRESPASS_HOUSE_BREAKING,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_HumanTrafficking,HUMANTRAFFICKING,HUMANTRAFFICKING,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Hurt,HURT,HURT,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_HURT/GREVIOUS HURT,HURT_GREVIOUS_HURT,HURT_GREVIOUS_HURT,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Importation of Girls from Foreign Country,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,"IPC_Imputation, assertions prejudicial to national integration",IMPUTATION_ASSERTIONS_PREJUDICIAL_TO_NATIONAL_INTEGRATION,IMPUTATION_ASSERTIONS_PREJUDICIAL_TO_NATIONAL_INTEGRATION,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Incidence of Rash Driving,INCIDENCE_OF_RASH_DRIVING,INCIDENCE_OF_RASH_DRIVING,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_INSULT TO MODESTY OF WOMEN,INSULT_TO_MODESTY_OF_WOMEN,INSULT_TO_MODESTY_OF_WOMEN,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Insult to the Modesty of Women,INSULT_TO_THE_MODESTY_OF_WOMEN,INSULT_TO_THE_MODESTY_OF_WOMEN,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_In Public Transport system,IN_PUBLIC_TRANSPORT_SYSTEM,IN_PUBLIC_TRANSPORT_SYSTEM,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_KIDNAPPING & ABDUCTION,KIDNAPPING_ABDUCTION,KIDNAPPING_ABDUCTION,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Kidnapping & Abduction,KIDNAPPING_ABDUCTION,KIDNAPPING_ABDUCTION,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Kidnapping & Abduction in order to Murder,KIDNAPPING_ABDUCTION_IN_ORDER_TO_MURDER,KIDNAPPING_ABDUCTION_IN_ORDER_TO_MURDER,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Kidnapping & Abduction of Women to compel her for marriage,KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Kidnapping & Abduction_Total,KIDNAPPING_ABDUCTION_TOTAL,KIDNAPPING_ABDUCTION_TOTAL,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_KIDNAPPING AND ABDUCTION OF OTHERS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Kidnapping for Ransom,KIDNAPPING_FOR_RANSOM,KIDNAPPING_FOR_RANSOM,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Making or Possessing materials for forged currency/Bank notes,MAKING_OR_POSSESSING_MATERIALS_FOR_FORGED_CURRENCY_BANK_NOTES,MAKING_OR_POSSESSING_MATERIALS_FOR_FORGED_CURRENCY_BANK_NOTES,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Making or Using documents resembling currency,MAKING_OR_USING_DOCUMENTS_RESEMBLING_CURRENCY,MAKING_OR_USING_DOCUMENTS_RESEMBLING_CURRENCY,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Making Preparation and Assembly for committing Dacoity,MAKING_PREPARATION_AND_ASSEMBLY_FOR_COMMITTING_DACOITY,MAKING_PREPARATION_AND_ASSEMBLY_FOR_COMMITTING_DACOITY,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_MURDER,MURDER,MURDER,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Murder,MURDER,MURDER,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Offences against State,OFFENCES_AGAINST_STATE,OFFENCES_AGAINST_STATE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Offences promoting enmity between different groups,OFFENCES_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,OFFENCES_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Other Assault on Women,OTHER_ASSAULT_ON_WOMEN,OTHER_ASSAULT_ON_WOMEN,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Other Dacoity,OTHER_DACOITY,OTHER_DACOITY,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_OTHER IPC CRIMES,OTHER_IPC_CRIMES,OTHER_IPC_CRIMES,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Other IPC crimes,OTHER_IPC_CRIMES,OTHER_IPC_CRIMES,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Other Kidnapping,OTHER_KIDNAPPING,OTHER_KIDNAPPING,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Other offences against State,OTHER_OFFENCES_AGAINST_STATE,OTHER_OFFENCES_AGAINST_STATE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Other places related to work,OTHER_PLACES_RELATED_TO_WORK,OTHER_PLACES_RELATED_TO_WORK,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_OTHER RAPE,OTHER_RAPE,OTHER_RAPE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_OTHER THEFT,OTHER_THEFT,OTHER_THEFT,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Other Thefts,OTHER_THEFTS,OTHER_THEFTS,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,"IPC_Places other than 231, 232 & 233",PLACES_OTHER_THAN_231_232_233,PLACES_OTHER_THAN_231_232_233,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Possession of forged or counterfeiting currency/Bank notes,POSSESSION_OF_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,POSSESSION_OF_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_PREPARATION AND ASSEMBLY FOR DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Promoting enmity between different groups,PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_RAPE,RAPE,RAPE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Rape,RAPE,RAPE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Rape_Gang Rape,RAPE_GANG_RAPE,RAPE_GANG_RAPE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Rape_Others,RAPE_OTHERS,RAPE_OTHERS,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Rape other than Custodial,RAPE_OTHER_THAN_CUSTODIAL,RAPE_OTHER_THAN_CUSTODIAL,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_RIOTS,RIOTS,RIOTS,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Riots,RIOTS,RIOTS,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Riots_Agrarian,RIOTS_AGRARIAN,RIOTS_AGRARIAN,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Riots_Caste Conflict,RIOTS_CASTE_CONFLICT,RIOTS_CASTE_CONFLICT,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Riots_Communal,RIOTS_COMMUNAL,RIOTS_COMMUNAL,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Riots_Industrial,RIOTS_INDUSTRIAL,RIOTS_INDUSTRIAL,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Riots_Others,RIOTS_OTHERS,RIOTS_OTHERS,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Riots_Other Caste Conflict,RIOTS_OTHER_CASTE_CONFLICT,RIOTS_OTHER_CASTE_CONFLICT,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Riots_Political,RIOTS_POLITICAL,RIOTS_POLITICAL,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Riots_SC/STs Vs Non-SCs/STs,RIOTS_SC_STS_VS_NON_SCS_STS,RIOTS_SC_STS_VS_NON_SCS_STS,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Riots_Sectarian,RIOTS_SECTARIAN,RIOTS_SECTARIAN,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Riots_Students,RIOTS_STUDENTS,RIOTS_STUDENTS,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_ROBBERY,ROBBERY,ROBBERY,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Robbery,ROBBERY,ROBBERY,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Sedition,SEDITION,SEDITION,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Sexual Harassment,SEXUAL_HARASSMENT,SEXUAL_HARASSMENT,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Stalking,STALKING,STALKING,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_THEFT,THEFT,THEFT,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Theft,THEFT,THEFT,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Total Cognizable IPC crimes,TOTAL_COGNIZABLE_IPC_CRIMES,TOTAL_COGNIZABLE_IPC_CRIMES,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_TOTAL IPC CRIMES,TOTAL_IPC_CRIMES,TOTAL_IPC_CRIMES,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Unlawful Assembly,UNLAWFUL_ASSEMBLY,UNLAWFUL_ASSEMBLY,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Unnatural Offence,UNNATURAL_OFFENCE,UNNATURAL_OFFENCE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Using forged or counterfeiting currency/Bank notes,USING_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,USING_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Voyeurism,VOYEURISM,VOYEURISM,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
SC,SC_Arson,ARSON,ARSON,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
SC,SC_Dacoity,DACOITY,DACOITY,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
SC,SC_Hurt,HURT,HURT,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
SC,SC_IPC_Acid attack,IPC_ACID_ATTACK,IPC_ACID_ATTACK,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
SC,SC_IPC_Arson,IPC_ARSON,IPC_ARSON,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
SC,SC_IPC_Assault on women with intent to Disrobe,IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
SC,SC_IPC_Assault on women with intent to outrage her Modesty,IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
SC,SC_IPC_Attempt to Acid Attack,IPC_ATTEMPT_TO_ACID_ATTACK,IPC_ATTEMPT_TO_ACID_ATTACK,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
SC,SC_IPC_Attempt to commit Murder,IPC_ATTEMPT_TO_COMMIT_MURDER,IPC_ATTEMPT_TO_COMMIT_MURDER,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
SC,SC_IPC_Attempt to commit Rape,IPC_ATTEMPT_TO_COMMIT_RAPE,IPC_ATTEMPT_TO_COMMIT_RAPE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
SC,SC_IPC_Dacoity,IPC_DACOITY,IPC_DACOITY,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
SC,SC_IPC_Dacoity with Murder,IPC_DACOITY_WITH_MURDER,IPC_DACOITY_WITH_MURDER,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
